iter	Passed	Remaining
214	760	1008
215	763	1003
216	767	1000
217	770	996
218	773	993
219	776	988
220	779	983
221	782	980
222	785	975
223	789	972
224	792	968
225	795	965
226	799	961
227	803	958
228	805	953
229	808	949
230	811	944
231	814	941
232	817	936
233	820	932
234	823	928
235	826	925
236	830	921
237	834	918
238	838	915
239	841	911
240	845	908
241	848	904
242	852	901
243	855	897
244	858	893
245	861	889
246	864	885
247	867	881
248	870	877
249	872	872
250	874	867
251	877	863
252	879	858
253	882	854
254	885	850
255	889	847
256	893	844
257	896	841
258	900	837
259	904	834
260	907	830
261	910	827
262	914	823
263	918	820
264	921	817
265	924	813
266	927	809
267	930	805
268	934	802
269	938	799
270	940	794
271	944	791
272	947	787
273	951	784
274	953	780
275	957	776
276	960	773
277	962	768
278	965	764
279	968	760
280	971	757
281	974	753
282	978	750
283	981	746
284	984	742
285	987	738
286	990	735
287	996	733
288	1001	731
289	1007	729
290	1027	737
291	1031	734
292	1035	731
293	1039	728
294	1044	725
295	1048	722
296	1052	719
297	1056	715
298	1059	712
299	1062	708
300	1067	705
301	1070	701
302	1074	698
303	1076	694
304	1079	690
305	1082	686
306	1085	682
307	1088	678
308	1091	674
309	1094	671
310	1098	667
311	1101	663
312	1105	660
313	1108	656
314	1112	653
315	1115	649
316	1119	646
317	1122	642
318	1126	638
319	1130	635
320	1133	632
321	1137	628
322	1140	625
323	1144	621
324	1147	617
325	1149	613
326	1153	610
327	1156	606
328	1160	602
329	1163	599
330	1165	595
331	1169	592
332	1173	588
333	1177	585
334	1180	581
335	1184	577
336	1187	574
337	1191	570
338	1194	567
339	1197	563
340	1201	560
341	1204	556
342	1207	552
343	1211	549
344	1214	545
345	1218	542
346	1221	538
347	1225	535
348	1228	531
349	1232	528
350	1236	524
351	1239	521
352	1243	517
353	1245	513
354	1248	510
355	1252	506
356	1255	502
357	1259	499
358	1262	496
359	1266	492
360	1270	489
361	1273	485
362	1276	481
363	1279	478
364	1283	474
365	1287	471
366	1290	467
367	1294	464
368	1297	460
369	1301	457
370	1304	453
371	1308	450
372	1311	446
373	1315	443
374	1318	439
375	1321	435
376	1324	432
377	1327	428
378	1331	425
379	1335	421
380	1338	418
381	1341	414
382	1344	410
383	1348	407
384	1351	403
385	1354	400
386	1358	396
387	1361	393
388	1364	389
389	1367	385
390	1371	382
391	1374	378
392	1376	374
393	1379	371
394	1383	367
395	1386	364
396	1389	360
397	1393	357
398	1396	353
399	1399	349
400	1403	346
401	1406	342
402	1409	339
403	1412	335
404	1415	332
405	1419	328
406	1423	325
407	1426	321
408	1429	318
409	1433	314
410	1436	311
411	1439	307
412	1442	303
413	1445	300
414	1448	296
415	1451	293
416	1454	289
417	1458	286
418	1462	282
419	1465	279
420	1469	275
421	1472	272
422	1476	268
423	1478	265
424	1481	261
425	1485	258
426	1489	254
427	1492	251
428	1495	247
429	1498	243
430	1501	240
431	1503	236
432	1507	233
433	1510	229
434	1513	226
435	1516	222
436	1520	219
437	1523	215
438	1527	212
439	1530	208
440	1534	205
441	1537	201
442	1541	198
443	1544	194
444	1547	191
445	1551	187
446	1554	184
447	1558	180
448	1561	177
449	1565	173
450	1569	170
451	1572	166
452	1575	163
453	1578	159
454	1582	156
455	1584	152
456	1587	149
457	1591	145
458	1594	142
459	1598	138
460	1601	135
461	1605	132
462	1609	128
463	1613	125
464	1617	121
465	1621	118
466	1624	114
467	1627	111
468	1630	107
469	1633	104
470	1635	100
471	1638	97
472	1641	93
473	1644	90
474	1647	86
475	1650	83
476	1653	79
477	1657	76
478	1660	72
479	1664	69
480	1667	65
481	1671	62
482	1675	58
483	1679	55
484	1682	52
485	1686	48
486	1689	45
487	1692	41
488	1696	38
489	1700	34
490	1704	31
491	1707	27
492	1711	24
493	1714	20
494	1718	17
495	1721	13
496	1725	10
497	1729	6
498	1732	3
499	1737	0
