iter	Logloss
0	0.558544474
1	0.4383487183
2	0.3567513738
3	0.2755188679
4	0.2228086871
5	0.1772795737
6	0.1434264661
7	0.1196159568
8	0.09969098059
9	0.08248541971
10	0.06874138786
11	0.06000648478
12	0.05057616734
13	0.04336991623
14	0.03798166632
15	0.03340241387
16	0.02930194401
17	0.02638448381
18	0.02383375549
19	0.02159045147
20	0.02003045654
21	0.01818325566
22	0.01662968168
23	0.01531970714
24	0.01410719012
25	0.01317320391
26	0.01238212473
27	0.01154366429
28	0.01100427988
29	0.01055291314
30	0.009953187254
31	0.009593629208
32	0.009219737562
33	0.008857046699
34	0.008485431449
35	0.008131326249
36	0.007915925855
37	0.007682235164
38	0.007682253653
39	0.007443275778
40	0.007236529088
41	0.007236529088
42	0.007018486951
43	0.006838418756
44	0.006838409881
45	0.006838386955
46	0.006838367726
47	0.006826770534
48	0.006661770331
49	0.00663778239
50	0.0064872282
51	0.0063045227
52	0.006304517523
53	0.006304527877
54	0.006296303123
55	0.006296316436
56	0.006296294988
57	0.006296294988
58	0.006270032131
59	0.006162861466
60	0.006048055483
61	0.006025170241
62	0.006013164807
63	0.005962399268
64	0.005941312659
65	0.005941255712
66	0.005941277529
67	0.005924309953
68	0.005781931706
69	0.005781925419
70	0.00578194206
71	0.005765774698
72	0.005726597106
73	0.005635977639
74	0.005635962848
75	0.005635956192
76	0.005546750042
77	0.005532991828
78	0.005450997223
79	0.005450918828
80	0.005374343789
81	0.005331543415
82	0.005323485064
83	0.005323459179
84	0.005296491143
85	0.005279800905
86	0.005251988649
87	0.005251965723
88	0.005251982733
89	0.005236484312
90	0.005219382873
91	0.005186341861
92	0.005186341491
93	0.005163992436
94	0.005138366348
95	0.005138351187
96	0.00506460685
97	0.005064612397
98	0.005064612397
99	0.004995053285
100	0.004995039603
101	0.004979296014
102	0.004961710528
103	0.004923218517
104	0.004903714587
105	0.004887963602
106	0.004887958425
107	0.004824566954
108	0.004818176333
109	0.004803447804
110	0.004803440778
111	0.004790777497
112	0.004777967781
113	0.004777937089
114	0.004744176475
115	0.00472175975
116	0.004721761599
117	0.004676818692
118	0.004676818692
119	0.004670912489
120	0.004661501095
121	0.004598521934
122	0.004598507882
123	0.004555607667
124	0.004539405175
125	0.004519761836
126	0.004512085473
127	0.004512085843
128	0.004512072161
129	0.00449083283
130	0.00449083283
131	0.00445541632
132	0.004425619059
133	0.004425598721
134	0.00442560168
135	0.004402764509
136	0.004372306813
137	0.004345550663
138	0.004335868217
139	0.004291043641
140	0.004291041792
141	0.004267529025
142	0.004267536051
143	0.004253322632
144	0.004237628225
145	0.004220258692
146	0.004190990224
147	0.004174163536
148	0.004174130255
149	0.00413257088
150	0.004122866247
151	0.004089838546
152	0.00404396748
153	0.004024627734
154	0.004008009604
155	0.003979792804
156	0.00395160004
157	0.003941280825
158	0.003941287111
159	0.003941275278
160	0.003917860504
161	0.003898509664
162	0.003860806774
163	0.003834826063
164	0.00378492804
165	0.003762160758
166	0.003737792678
167	0.003737783434
168	0.003721611635
169	0.003721630494
170	0.003703189325
171	0.003703194502
172	0.003703194502
173	0.003703194502
174	0.003694324104
175	0.003694324104
176	0.003694306354
177	0.003675407392
178	0.003675414048
179	0.003675421813
180	0.003637073279
181	0.003637033342
182	0.003637049243
183	0.003637049243
184	0.003637049243
185	0.003637042957
186	0.003598395266
187	0.003581206559
188	0.003581203231
189	0.003563643259
190	0.00354631995
191	0.003528184224
192	0.003528174239
193	0.00352819088
194	0.003528169432
195	0.003528179786
196	0.0035281735
197	0.003528132084
198	0.003528122469
199	0.003528122469
200	0.003518924812
201	0.003502607317
202	0.003502606208
203	0.003496389755
204	0.003496389755
205	0.003480767086
206	0.003480748227
207	0.003480748227
208	0.003480732696
209	0.003480734915
210	0.00348074379
211	0.003480733436
212	0.003480733436
213	0.003480733436
214	0.003480741571
215	0.003480741571
216	0.003480741571
217	0.003480727889
